X,Z
26.915683678993574,-14.105555977443663
26.2926700810345,-14.729858551190846
25.669783402714785,-15.325959391740835
25.01103906856661,-15.912541442138826
24.380432643324962,-16.524694778218038
23.724447405586673,-17.126888662324816
23.08843754912599,-17.727211445158048
22.45190895675947,-18.35089770166235
21.807730975916122,-18.94628458100258
21.148621266414803,-19.507453460513467
20.514384356666106,-20.13840487400823
19.891305499307308,-20.774237732973756
19.234314136207942,-21.38002971656848
18.62667546541705,-22.029288320870233
17.964656786035423,-22.624729821798265
17.308190536811324,-23.219200598908827
16.644571268351243,-23.826692596208165
16.007936191903262,-24.42289624341015
15.345262413964395,-25.019764449778993
14.685923138598946,-25.610323080540567
14.031672111564506,-26.22464347770394
13.376905902557434,-26.821057913017505
12.700720517417574,-27.40525428723839
12.079365182295172,-28.050627445125194
11.42668749665437,-28.672063292652485
10.757024707621971,-29.262772478999796
10.100244842679942,-29.85023459543842
9.448025478117602,-30.460604731868028
8.800526522443695,-31.061153988324264
8.15763317104999,-31.691619009718003
7.499754745494725,-32.26870686029738
6.855683796088682,-32.86311791111255
6.231503562195378,-33.477141455599636
5.57694489117565,-34.06689457253542
4.89651932383192,-34.607214517089375
4.251687551753327,-35.21557627069477
3.6406565012818164,-35.856404761696034
2.9902391549243617,-36.43944958702505
2.3473357922005134,-37.04900520536358
1.705788239213563,-37.66602973296694
1.0810134852740956,-38.26731493950748
0.4180977506227857,-38.84720501799361
-0.20790197741135677,-39.37304614761926
-0.8328936822208963,-39.980683136520064
-1.4826608267414576,-40.59136717400777
-2.1374310016856186,-41.19241983138059
-2.778239608993364,-41.77357344461619
-3.4325928675983923,-42.34636761699347
-4.062982606314891,-42.94632004408372
-4.713495896751259,-43.531110929428834
-5.367738596131653,-44.12209332816028
-6.006885223269342,-44.743138947629596
-6.641681147648247,-45.35832088958668
-7.300526728341973,-45.93246888774762
-7.947747925544806,-46.52448657593641
-8.601661408860943,-47.131704786961876
-9.251606230472056,-47.71294326536951
-9.90208556353047,-48.33308312909146
-10.560742995681707,-48.90705540716241
-11.232933832446664,-49.50522060241171
-11.854671341999586,-50.11089136328423
-12.522420437366934,-50.69015200638534
-13.157362199444734,-51.29234870249356
-13.786861014958033,-51.888378023125426
-14.379009940743414,-52.53552609733431
-15.031718603318305,-53.1202051725875
-15.674432858663435,-53.726654990438035
-16.299560508664797,-54.366078782800564
-16.936804213365054,-54.953469029007344
-17.564548603635988,-55.58517598530478
-18.1944919035609,-56.198847993044
-18.83845941948781,-56.82129612018078
-19.488258378447682,-57.43645593029614
-20.138196314721338,-58.033166948663926
-20.771146619975827,-58.641707087780034
-21.42590426301278,-59.21017952341471
-22.064106869085805,-59.836636636559774
-22.706963538107814,-60.44231760564929
-23.383542560640016,-61.03756050334653
-24.054858867289326,-61.64527445147106
-24.699066139972363,-62.271480604680214
-25.35001030897374,-62.88356682654205
-25.970285828135676,-63.49815451045028
-26.622565400357164,-64.08849969507683
-27.284797579045424,-64.70936998726364
-27.95059184521372,-65.32146209757188
-28.61439493771754,-65.89242530920578
-29.29224929909895,-66.49346195679115
-29.927434112686026,-67.09828688703891
-30.591870328598223,-67.68704384643097
-31.230396418789347,-68.28712952363523
-31.91119017515658,-68.89508077246664
-32.5624946076299,-69.48130108268936
-33.23122526936085,-70.0730586467434
-33.896716873327414,-70.66583437845794
-34.5695928644703,-71.24807845451251
-35.236709396660686,-71.84751853013084
-35.910799150999,-72.40216674353617
-36.55667747135418,-73.0189798886929
-37.24447248622869,-73.57734802930177
-37.888625994781925,-74.20209376928054
-38.58706183873413,-74.76851028999353
-39.25909844809724,-75.36599800505543
-39.966903406273886,-75.92472928571581
-40.64910625065011,-76.52788416837711
-41.316476404769276,-77.11644936038273
-41.956601244556026,-77.73007358288906
-42.69890277610866,-78.26507722924512
-43.25730718450911,-78.94998565157708
-43.968209014582825,-79.49470967981146
-44.62229486128408,-80.07748817605689
-45.2506720677159,-80.68779991107833
-45.89117086846421,-81.2866797391723
-46.545151954208826,-81.8755400087564
-47.216214370358585,-82.44764939989751
-47.89660024805589,-83.02068763492036
-48.367065518950064,-83.68660164267826
-49.02364092671349,-84.26151348784698
-49.66434330960693,-84.85980028486031
-50.27437295093092,-85.46228132976509
-50.97680634197413,-86.02808993975636
-51.66165434871462,-86.60008772544109
-52.39751873024187,-87.13521670257468
-53.06948537678241,-87.73160122896971
-53.730454657491364,-88.31827059655905
-54.368981388805025,-88.91805469873708
-55.04767287484643,-89.49462118597256
-55.70341848093422,-90.09709600520256
-56.376210122040334,-90.68009011749582
-57.065754093558496,-91.26488696623248
-57.770987714409,-91.8379306654568
-58.46907844096177,-92.41055014382704
-59.15289160240544,-93.00684991784289
-59.84607417585398,-93.58575838541356
-60.51138587775336,-94.17830755628225
-61.217951201997344,-94.73670098650857
-61.89042807234239,-95.32492100541792
-62.5760446332008,-95.90450838784092
-63.271356959954815,-96.4678471483482
-63.94837914355311,-97.04220736561173
-64.64428469729461,-97.59723938715133
-65.34709088335303,-98.15541612719038
-66.0391836488448,-98.72637757660065
-66.71361849525191,-99.31495423362796
-67.40454252210904,-99.88257322438028
-68.13315185537454,-100.42304053315941
-68.82334729925375,-100.99350609716012
-69.54980289436138,-101.55838396328112
-70.23823637763083,-102.13462959955504
-70.91364987744495,-102.72257192431015
-71.62201439471525,-103.28236548907266
-72.33553697839223,-103.8400617309999
-73.02375809416948,-104.40347585235854
-73.71383359204403,-104.9699313861923
-74.42988751524625,-105.52363765109449
-75.15536431794615,-106.07371585530761
-75.84045914563276,-106.64906100964376
-76.51231413333572,-107.2350684349447
-77.22176122530594,-107.7984151826041
-77.92825804244845,-108.36609315535281
-78.64556080996873,-108.92183993791143
-79.35048373537741,-109.4935502546161
-80.05111488730161,-110.06426915560093
-80.74763668243926,-110.63776447639243
-81.45904469471685,-111.21129171985034
-82.16809729319107,-111.7729810319308
-82.88764469469665,-112.33134414401836
-83.53906645119608,-112.9244387918829
-84.24423964818733,-113.49121059319121
-84.96137286332137,-114.04881131076719
-85.66441365888954,-114.60601268709368
-86.38308572314683,-115.19258390398208
-87.0727733601686,-115.77029998341827
-87.78443824858209,-116.33782867074247
-88.52984545666878,-116.86178794775915
-89.25309649131194,-117.41595925136214
-89.9609332779644,-117.98319927388394
-90.64647077435185,-118.56222792576858
-91.34140752913312,-119.14210499499268
-92.04757100764688,-119.71482460021353
-92.75456493454428,-120.28944220460194
-93.45934399900631,-120.85998193411218
-94.16407992250552,-121.43525860031248
-94.84100110820225,-122.02057417937115
-95.53999223665656,-122.59332576367888
-96.24739513669302,-123.16398439086717
-96.95729589003696,-123.73168152315029
-97.64997147539927,-124.311443609461
-98.35441331310756,-124.88067679344441
-99.05538901086311,-125.45535906742657
-99.72524087640492,-126.0466356201482
-100.40784396498995,-126.62922599963993
-101.07895990874826,-127.21530904503699
-101.79150517170594,-127.77929438092401
-102.51175218130803,-128.33296890925172
-103.08960729104217,-129.0012211687679
-103.69771149651899,-129.63086001889835
-104.41318911850588,-130.200305104683
