X,Y,Z
-5.741512177468122147e-01,-7.163008968285621281e-01,-4.386513170476431966e+00
-1.198946762888370987e+00,-7.739186518686769212e-02,-4.835318001174512936e+00
-1.673470972986762728e+00,-4.525137638394137740e-01,-5.631628452683098196e+00
-2.174299973540535724e+00,3.525187535245105641e-01,-5.313677264305048276e+00
-2.165774657027094818e+00,1.277751454761061556e+00,-5.692981584793050054e+00
-1.897145484410203586e+00,1.777086595727063401e+00,-6.516694389486308303e+00
-1.625854601905888153e+00,8.489551416869602907e-01,-6.771592920457824683e+00
-2.046865098515705750e+00,-5.055347184517577919e-02,-6.888359422186085546e+00
-2.317248162960742874e+00,5.041131613818939927e-01,-6.101442702039752142e+00
-2.400981612576016833e+00,1.472829934475643032e+00,-5.867826514795879689e+00
-2.297979924233551685e+00,1.887836758700343953e+00,-4.963857495390053387e+00
-2.527719031248814474e+00,2.788406067134771238e+00,-4.594811612858124228e+00
-2.720046322383290693e+00,2.270817305345220305e+00,-3.761077790373970053e+00
-2.980978918808681488e+00,1.352516573935967248e+00,-3.463356533464185372e+00
-3.858836923586382639e+00,1.779303589884969394e+00,-3.246059118695708179e+00
-3.519002763688281465e+00,2.651565503114245992e+00,-3.597729274517838416e+00
-4.230810808159528591e+00,2.107612766747908317e+00,-3.153381743383025793e+00
-4.286518902860843028e+00,2.859030503145765678e+00,-3.810852650428707911e+00
-4.512307794281720241e+00,3.268403780543224002e+00,-4.694839582608021367e+00
-4.912896899992235333e+00,4.147649540064271001e+00,-4.952628765372364406e+00
-5.125773886687650993e+00,4.523526881606032113e+00,-5.854515461499421036e+00
-4.619713677364774895e+00,4.892569263947354585e+00,-6.634073531546762048e+00
-3.992870900478312279e+00,4.155405218172117721e+00,-6.381769542910924464e+00
-4.727457790425518169e+00,4.777555285464339718e+00,-6.652530313492585279e+00
-5.594998903851069905e+00,5.175963677100472005e+00,-6.950260342193526952e+00
-6.406806508464228500e+00,5.712273052844686561e+00,-6.719304358116260367e+00
-5.888695216585466241e+00,4.932208197990836318e+00,-7.070102749574322054e+00
-5.847568293440955856e+00,5.292774432173054322e+00,-8.001929217839911956e+00
-5.409693358661552764e+00,4.819113929454495349e+00,-7.237788347544168666e+00
-5.617588682350978857e+00,5.189227185641885676e+00,-8.143214055143880969e+00
-6.347139450677349082e+00,5.062345851863096158e+00,-8.815268222285874700e+00
-6.497758221695463021e+00,6.041199579855356383e+00,-8.676850864224647353e+00
-6.406671596140456337e+00,5.091092911806910593e+00,-8.975180457082759133e+00
-6.537719889028120512e+00,6.027411326052676266e+00,-9.300962856968830295e+00
-6.718547183902938258e+00,6.916272189206122079e+00,-8.879978468443116668e+00
-6.799266715140104722e+00,7.810128681221404356e+00,-8.438951338938606384e+00
-6.695826395398247755e+00,8.785888425395949497e+00,-8.246096414448372158e+00
-6.918324182164166558e+00,9.577946288683213183e+00,-7.677643183224303947e+00
-7.859460878364848746e+00,9.305891458711446518e+00,-7.878261947435186485e+00
-8.793129751676401540e+00,9.591725986570073914e+00,-7.662481833214779492e+00
-8.376204868359018008e+00,9.287202468990063409e+00,-8.518892405844219695e+00
-8.161454984734451301e+00,9.168993386337850993e+00,-9.488381498233483313e+00
