X,Z
16.087540615798066,-20.531521673914092
15.336337506939767,-21.10698339025748
14.650648566840728,-21.782190314945225
13.983577652739255,-22.403919534385786
13.208134170922628,-22.962093353079645
12.552233879886664,-23.665329322951987
11.838818889838144,-24.292221766070256
11.172941949716066,-24.901292341939115
10.498768439061704,-25.54090692457338
9.748783209825444,-26.152535203497102
9.001706243568252,-26.762045832094504
8.312676672522265,-27.404482422410528
7.574179360668397,-28.024118993345606
6.905993500521196,-28.668436906507413
6.098714670551578,-29.20518315875516
5.422950613424777,-29.846761178197593
4.693073228736804,-30.45965951011336
4.010136899070466,-31.09060988904702
3.323809349072715,-31.730696547239212
2.6650482633109074,-32.427714651330156
2.0505655903447124,-33.11418834961951
1.398117646110698,-33.8020107120378
0.695018330537908,-34.436628118604226
0.004313347462179618,-35.08773390422833
-0.7176543692590341,-35.66489718869265
-1.3831559846135935,-36.31550128003829
-2.0975948456518636,-36.94062436209832
-2.7644735713557442,-37.59525702416347
-3.395475752343825,-38.29921967910469
-4.133993670927051,-38.90876323973051
-4.833053470970492,-39.56276767143517
-5.471173544227978,-40.28647654010944
-6.179290306385228,-40.92833407581409
-6.874257915611992,-41.57068132169827
-7.59125498047258,-42.19670463888059
-8.27481783512979,-42.84156051097073
-9.042428616689337,-43.4364173388733
-9.691120269379008,-44.12656739586646
-10.458687744965518,-44.721004266879525
-11.1320148291064,-45.40177543250951
-11.812685456175151,-46.063215390171074
-12.52165397950602,-46.67813752152694
-13.130305180380514,-47.38077500259181
-13.867065842641631,-47.98757444428834
-14.546061084491516,-48.63590811339747
-15.282669801168508,-49.23705738794464
-16.038500495808858,-49.83027912855784
-16.73067020927304,-50.48071492180084
-17.436184034217938,-51.14648819582026
-18.101768399185524,-51.81476147528969
-18.79782832036761,-52.4678766533874
-19.488086639426186,-53.11281166238185
-20.120334091717208,-53.81189334538905
-20.887334090480017,-54.381202359350105
-21.59849328836052,-55.00642164913801
-22.317570488654063,-55.62033676034118
-23.03132366413024,-56.262386301918944
-23.706186951022584,-56.93057302155603
-24.4196492408522,-57.57505817859677
-25.122173866409415,-58.23009242544532
-25.82291170745803,-58.88676985859043
-26.5170698402514,-59.532618329762904
-27.257439211523156,-60.14189967676781
-28.02328260846411,-60.711498125084475
-28.72307053333528,-61.362633397723684
-29.4592320137642,-61.9687679725044
-30.13125520408195,-62.62723880319231
-30.845573975013117,-63.24118812611233
-31.482520653660792,-63.92891059255159
-32.11334203719348,-64.60488699305436
-32.830764013226116,-65.23528201066878
-33.5672554801384,-65.82850497274462
-34.289582392925965,-66.43799250512197
-34.978018567649734,-67.09511696465556
-35.67395862568099,-67.73196549879901
-36.34434233491265,-68.3676941237485
-37.015233383692966,-69.02875314170508
-37.76713819783887,-69.61870327027447
-38.4272058892819,-70.2972956068443
-39.1342374762769,-70.91751246948766
-39.853435649387905,-71.50873092634355
-40.58120730011241,-72.11314047461724
-41.29362629955899,-72.7689171220124
-42.01001252754788,-73.40377935337168
-42.73880031482505,-74.01553539000903
-43.4293162584171,-74.65273176517377
-44.10618568161862,-75.29358900747759
-44.78126889723034,-75.96255885989976
-45.51362531035267,-76.57408909879267
-46.236310633188026,-77.19055852571515
-47.0054579256389,-77.74320122193065
-47.73743602469235,-78.32571578108438
-48.41296603669219,-78.99186337139011
-49.090245073703485,-79.63909374462678
-49.855140512637846,-80.19615212166941
-50.45824444837579,-80.93247736264547
-51.19530690810312,-81.53669979908966
-51.86606818938227,-82.18275949550106
-52.55016845582173,-82.81854904011468
-53.30272256764268,-83.4038147759079
-54.02859247155833,-84.00415582119747
-54.69086372550568,-84.68301355805704
-55.315936458733,-85.39380222510475
-56.03445917646962,-86.00162370189464
-56.78828408827931,-86.60294241752894
-57.5025039428621,-87.25544719244157
-58.2211407276645,-87.87847800488915
-58.93049975580526,-88.49918404388207
-59.61704358335712,-89.15328949701359
-60.378860821497305,-89.72568731247398
-61.068730902961434,-90.36830960843741
-61.809450744048824,-90.97930043088317
-62.456223060896626,-91.62417167373336
-63.063927460606045,-92.33374324554438
-63.70221218733163,-93.01067962913227
-64.32624879057465,-93.738510328961
-65.04936570374643,-94.35598161515759
-65.80898951603253,-94.93200375119464
-66.43276841034614,-95.63120496427763
-67.17250421432749,-96.23509631370091
-67.88222579562817,-96.83796403756875
-68.57572135025794,-97.48907315298172
-69.17584763401841,-98.17820933181895
-69.92163242108327,-98.77408280818531
-70.62255328818702,-99.37394083438978
-71.25568201950682,-100.01230197589832
-71.92103176054057,-100.70652785427585
-72.61837058580637,-101.31759745310184
-73.3188070887784,-101.96428219494285
-74.07229889550528,-102.47611429421625
-74.79337024228997,-103.09257604096243
-75.43679153751233,-103.79107587178424
-76.12622759831538,-104.42077023203124
-76.85578894724928,-105.02218128758284
-77.53131113803936,-105.68540167922566
-78.24463609285544,-106.30552089331255
-78.95583255639521,-106.94102293859638
-79.69011951694912,-107.55284767235689
-80.35711006286297,-108.23716663525936
-81.09637863405901,-108.84556757660162
-81.75387945770625,-109.51796935283824
-82.4189610077967,-110.19170561849721
-83.17269485439076,-110.77580186406117
-83.87550075573066,-111.41326675886515
-84.58952278805235,-112.02090857853707
-85.1298640326746,-112.80759181669345
-85.85300856134424,-113.41239056051666
-86.51733030068343,-114.09405707777609
-87.25777150540425,-114.71148267255333
-87.9072294393897,-115.40227855187703
-88.630439233865,-116.02975080410367
-89.35585472928905,-116.64721299446796
-90.0255441761843,-117.31101518029749
-90.76382013891225,-117.90129560891802
-91.47347241188555,-118.54930248294767
-92.1360136164385,-119.21317228480261
-92.89872401630444,-119.78141193033761
-93.63639472771762,-120.37312642995936
-94.30205372539116,-121.03317361170978
-94.98184876395513,-121.68271495690496
-95.67355606505033,-122.36047864383843
-96.43301293015818,-122.90655093971822
-97.21079677059541,-123.49621434721
-97.96894660700775,-124.02879093975935
-98.67555595726623,-124.67954393364884
-99.3945879774193,-125.28366572743393
-100.09804749309043,-125.91910431587185
-100.7406817408103,-126.5796809968857
-101.4372854578892,-127.226298568889
-102.11850029964783,-127.86668565399448
-102.8503822415178,-128.45665488442108
-103.55984567850255,-129.0800826396599
-104.28650250016159,-129.69005488452856
-104.95630154919397,-130.357293180336
-105.60916674857253,-131.07504294140188
-106.28765743738079,-131.7353390562877
-107.04352480907656,-132.30931275593687
-107.73772996265622,-132.93241708688785
-108.4735998372879,-133.54189876149516
-109.20117018805867,-134.13279260100302
-109.85253405103055,-134.83665154088126
-110.51103459033367,-135.50273278515868
-111.19965330556536,-136.15474700337714
-111.85421332285833,-136.83249409151176
-112.50843973854967,-137.51048633042154
-113.24999567368019,-138.11796702324068
-113.86839901784116,-138.83430359970322
-114.57426298085862,-139.48306968138291
-115.24331974985931,-140.12665588136178
-115.90051932516393,-140.80539898319972
-116.60983283775272,-141.4323929934405
-117.278246489982,-142.1008096038468
-118.01802196427035,-142.70769852720093
-118.733677848196,-143.31801773671154
-119.46382195828978,-143.91019650742064
-120.16529578139111,-144.53602773567044
-120.87560427313267,-145.15871822210497
-121.6273931935852,-145.74537814062887
-122.33024325135217,-146.37393391020692
-123.08004577386748,-146.95201170045132
-123.8027072252104,-147.58799194667833
-124.46497387124538,-148.27908765704575
-125.19844363460138,-148.87790951294457
-125.91583891298387,-149.5206167613515
-126.60022647728076,-150.19643120205686
-127.34349653643221,-150.80325964822148
-128.04854742902174,-151.43941756144588
-128.79957826181172,-152.03932486380333
-129.49244260152255,-152.6791237428726
-130.19146790350146,-153.3227774663493
-130.9508228434107,-153.92291971027947
-131.66926977391458,-154.51959305476822
-132.43685256141956,-155.08159167464834
-133.17086668305978,-155.67754467299784
-133.83486506428181,-156.3537415839074
-134.54176012937697,-156.98595309070691
-135.21941184837033,-157.6501151270058
-135.97796982905737,-158.2369219691981
-136.7083962782513,-158.82241046001005
-137.38241727826318,-159.43797801000767
-138.14819778475788,-159.98608587371385
-138.87060245064754,-160.5918798360736
-139.6162157059609,-161.1672952543697
-140.29417722804777,-161.84543924160434
-141.0249460840743,-162.4597495269779
-141.72322319603694,-163.1062557930865
-142.44451170547254,-163.71755225259486
-143.2169597570362,-164.2524063160772
-143.92838119960945,-164.88014066433647
-144.70922769990207,-165.38786468894182
-145.43311623453639,-165.93625577168916
-146.0349249583098,-166.59020796349387
-146.80119671279695,-167.1973692592755
-147.4969738255162,-167.82682687392827
-148.2323489864387,-168.44994744134715
-148.90158130929382,-169.102350456178
-149.65186774983925,-169.70163314725465
-150.43600892337292,-170.266723925467
-151.15125353757233,-170.91093625121493
-151.88477124927928,-171.50530192976257
-152.64198374122947,-172.0723369312084
-153.38482474149887,-172.63542780117814
-154.07072495437478,-173.2950510563899
-154.79052967489108,-173.90961430907777
-155.49692681760754,-174.54925435805796
-156.24214007255483,-175.13131079528569
-156.92060581887017,-175.80659135107408
-157.59446043522343,-176.45904809364873
-158.2583145602985,-177.14620209151613
-158.98433963059097,-177.762391881875
-159.66746927925257,-178.40332233048522
-160.42635346583438,-178.96363393675003
-161.06320056791094,-179.65839971368743
-161.7851591860465,-180.27081048242007
-162.5003549354384,-180.8893108297488
-163.22058734149508,-181.49826646081513
-163.943443585166,-182.10168970345086
-164.7293822479769,-182.63489429429046
-165.45536757883346,-183.23658659631184
-166.18151932272673,-183.8358931571277
-166.85189405468827,-184.51229640411387
-167.55092563686293,-185.147880928897
-168.2774439153158,-185.77524218142614
-169.01694477687417,-186.3898257821155
-169.7266281311535,-187.001588806024
-170.48019038491066,-187.59442864661585
-171.14737525822216,-188.25526135125017
-171.87596017898773,-188.86779766578982
-172.5850074611394,-189.49297244988156
-173.33012212006884,-190.09661871523352
-174.0111589700533,-190.76088260329752
-174.77761124071196,-191.3374806984781
-175.5047322760758,-191.9562105375985
-176.2216429122225,-192.56095906596815
-176.8954719485236,-193.2056596733962
-177.6178694563065,-193.81159203629392
-178.3411788679797,-194.42278218987036
-179.0646955844358,-195.043394477117
-179.80465674187337,-195.6283018412653
-180.50556725645987,-196.26519136973442
-181.21182176886524,-196.899328754849
-181.94982424350118,-197.5018427167448
-182.63844572488742,-198.14816246804762
-183.309635580769,-198.8378541943054
-184.0631386314858,-199.41561031057773
-184.74873836455276,-200.08197550013597
-185.42965932706952,-200.7469996232088
-186.14071426842503,-201.38184460782543
-186.82917086524134,-202.0632329345911
-187.47133387111316,-202.7838507818724
-188.20375401482724,-203.37274047843397
-188.84356044431414,-204.0842448667976
-189.6074710650128,-204.65357977046648
-190.32706363514674,-205.22753895432734
-191.09008140846657,-205.79695395130045
-191.82230306881334,-206.38901907714992
-192.5015930955585,-207.06845462470008
-193.25066533876583,-207.65701695545326
-193.98271698389917,-208.26742256736975
-194.7023383160117,-208.9004529656871
-195.47194864947807,-209.4527689760092
-196.15599383851816,-210.10924783518274
-196.84575904068944,-210.71552792465232
-197.58973490781233,-211.31711172907154
-198.2133605513831,-212.02850373879
-198.96239960394874,-212.64149480651088
-199.67383011891317,-213.28294222882758
-200.37660320047195,-213.9406889182849
-201.13260846634594,-214.481245926249
-201.76941464302323,-215.16252344245098
-202.5192801270211,-215.71732280304167
-203.16312849481844,-216.39578180150883
-203.91403352999419,-216.9926404799211
-204.63415394648445,-217.61000692323228
-205.33701223371773,-218.229905351006
-206.06060252078117,-218.84407045995536
-206.77980112882526,-219.44981526337386
-207.49213538237663,-220.08550247097193
-208.19031338011615,-220.7383320471082
-208.912622381214,-221.3646739441759
-209.66357627234797,-221.95010815665822
-210.40676558215384,-222.54764005922877
-211.06151498697642,-223.25978083494496
-211.81030366837962,-223.85530524216486
-212.5656101695931,-224.44145031745967
-213.30089723065947,-225.0555922684474
-214.00645436821694,-225.68523978943585
-214.73212059198454,-226.28695210625534
-215.444431132099,-226.90166375902794
-216.1037394441857,-227.59729410153298
-216.8420601402822,-228.19921529940328
-217.527818880151,-228.8453395052034
-218.26796570085128,-229.4212697595462
-218.91347376602,-230.10546134323772
-219.62336353875642,-230.74275492246204
-220.33329575863857,-231.38398241873136
-221.05560177316792,-232.00459220303603
-221.77406099322567,-232.62268164981194
-222.49724790629506,-233.24148955716748
-223.196107557262,-233.86121065925718
-223.95295023685523,-234.44824438443734
-224.64145697372305,-235.08595888814273
-225.4115883083456,-235.65740013093858
-226.1308903253408,-236.2766753676674
-226.8789131055136,-236.87456736758244
-227.54831206303908,-237.54590247740853
-228.27971453792622,-238.1466907806606
-228.95773947927236,-238.82411029882013
-229.72444822981004,-239.3933596461117
-230.4065919398619,-240.04227752980432
-231.14926639309044,-240.6387922538387
-231.86420275834766,-241.25837489866637
-232.5653411196133,-241.9096083502897
-233.21577944165563,-242.60169330722792
-233.9749423751879,-243.19485958322898
-234.6936099942392,-243.8041311376869
-235.36514373975157,-244.49595320842022
-236.09959278237153,-245.09911868001072
-236.81043972017463,-245.73597030183888
-237.5935850026412,-246.26816919233937
-238.31240471487547,-246.88114077111177
-238.994447756393,-247.55325014045857
-239.66847784088668,-248.22281203706618
-240.40168297012426,-248.82523367784066
-241.09087254158212,-249.4814119480519
-241.81687932579158,-250.10491685955355
-242.52935496689554,-250.73260977180013
-243.20959935093427,-251.4121522136938
-243.9234011280303,-252.02826572736052
-244.62573298044256,-252.6889861329494
-245.33849739366516,-253.31685906066036
-246.09227464341183,-253.89972598303316
-246.75942646586014,-254.57021339520787
-247.49038970696262,-255.17219974977377
-248.22427786662632,-255.77974490670903
-248.9570467756037,-256.39652943702356
-249.64699660390974,-257.04120130098926
-250.4367911218203,-257.5993751674895
-251.13509050171402,-258.2149234347323
-251.86682521740377,-258.8297890569288
-252.58252416586322,-259.4539485851757
-253.33610712417732,-260.05105124553654
-253.9693395811434,-260.75560637998547
-254.78771608361814,-261.25937612455425
-255.48584253580174,-261.91742543048844
-256.2160314396457,-262.53286406936945
-256.9862924679262,-263.08759681529165
-257.75945643298417,-263.6497246901363
-258.47131541724775,-264.30270772874167
-259.2201901322417,-264.89547441281456
-259.93931398034823,-265.521454243027
-260.62676387024084,-266.16742878660625
-261.34315746999096,-266.79151947678656
-262.046275088029,-267.42638509749264
-262.7438805379171,-268.06899504718655
-263.46820503336926,-268.691031437521
-264.19184290611946,-269.30505709317305
-264.8326148728277,-269.98572057935064
-265.52844761780744,-270.6325159939829
-266.24589853510065,-271.23665134646996
-266.94562675420326,-271.87668948016284
-267.7001414534563,-272.4575900499643
-268.34714589695113,-273.1516376880867
-269.09987860887725,-273.73867780213163
-269.7660739700386,-274.4051889641413
-270.53104650961774,-274.9814591155306
-271.23258955406794,-275.6204738593183
-271.9900077948413,-276.2018115431566
-272.7162535031953,-276.81124971190343
-273.4807098241663,-277.37048663984694
-274.21679204431894,-277.9799131766123
-274.91674390226655,-278.6215998058093
-275.61562280293134,-279.26205711911007
-276.34608991301485,-279.8670334121701
-277.07368705241095,-280.4831730147153
-277.75486525128343,-281.1357988844864
-278.44383364434367,-281.7595302878758
-279.09132579855094,-282.427704525523
-279.7971107108781,-283.0535694123696
-280.502763457075,-283.6820302764677
-281.1818483354405,-284.33480805929605
-281.93136188786383,-284.9309482547029
-282.6603231356045,-285.53773573583624
-283.40329985804533,-286.1468993941115
-284.1279504161545,-286.76662478685057
-284.85578839692005,-287.37124799315217
-285.597603389517,-287.9731594777785
-286.34303155969303,-288.5782887061935
-287.07865972329284,-289.18176214647804
-287.81515853225784,-289.7834120801615
-288.5416271031302,-290.39094102120714
-289.2497408465053,-291.0189258339611
-289.943269887645,-291.65380625687436
-290.6743337288563,-292.2547594108979
-291.4010815387179,-292.8721703782031
-292.1021297633107,-293.49676426668674
-292.82702985193725,-294.12132023545144
-293.5353432140205,-294.76708007689234
-294.2774924876327,-295.37261308007203
-295.0032131186637,-295.9773318236838
-295.71479652259563,-296.60638219763
-296.37828210004034,-297.28116589660897
-297.09232175978616,-297.9100767650939
-297.76081781341964,-298.58186775713267
-298.5090383213419,-299.17765926850876
-299.22642687527764,-299.8112766289432
-299.9349196126984,-300.43961514275856
-300.6287258966183,-301.0870061845611
-301.33557390097485,-301.7104007870611
-302.0691331510023,-302.3123269116039
-302.80372419099893,-302.9190624436375
-303.5184642506253,-303.5416577917472
-304.25057893758,-304.15388454100315
-304.9667009332809,-304.78589319781634
-305.72727646910795,-305.36499712264595
-306.44670073227667,-305.9761986404328
-307.19925324150626,-306.5693290360394
-307.93676032880194,-307.16480335139477
-308.66682265905735,-307.77418775529736
-309.3970253858395,-308.38633832640477
-310.06633419673466,-309.0588531120387
-310.8437984275495,-309.620101225411
-311.55022964489575,-310.261547061134
-312.31026702797703,-310.8350580226663
-313.0090985318966,-311.48481313248334
-313.75020237817046,-312.07674251910925
-314.46323269994707,-312.7094514793402
-315.23435847228535,-313.261924533823
-315.9423058879395,-313.90531060971404
-316.6697690138773,-314.5167984729205
-317.396465343295,-315.13545185897726
-318.0930338978657,-315.77882735866234
-318.83720631132724,-316.3644693829341
-319.54450633205187,-316.9848425260988
-320.27989847242344,-317.58746100784515
-320.99091990988836,-318.1988098611381
-321.70791074823126,-318.8357709269714
-322.498204184611,-319.36392026128294
-323.2327680734443,-319.97528762123176
-323.9342828636629,-320.61778918091426
-324.6369756762941,-321.2279819084241
-325.3661485952974,-321.8405392386578
-326.11964124969927,-322.4231679583954
-326.9306098098225,-322.93754385028996
-327.60880878740727,-323.6075352814219
-328.40559647699143,-324.12328562968406
-329.0645908390002,-324.79837090178336
-329.8475297677285,-325.3441662319087
-330.59129032519536,-325.9304278588368
-331.3650673028324,-326.5024343403277
-332.0797058331858,-327.12996903749973
-332.8438055604861,-327.7030386315019
-333.5448694602259,-328.3481932370232
-334.2904799432124,-328.9551039044049
-334.98217936851404,-329.61585530890625
-335.7162596130385,-330.2196969563302
-336.38258107419404,-330.89145653474253
-337.116002135346,-331.49063258818217
-337.8255295424795,-332.11618344847585
-338.51877556826486,-332.76396054483314
-339.26632549631523,-333.35414593633504
-339.9769487461691,-333.9888630091661
-340.72561121053735,-334.5756542220431
-341.45350712753554,-335.19454175519024
-342.1559813880723,-335.8257256869836
-342.8719414443713,-336.4586924887471
-343.58809122401465,-337.0729206875554
-344.29990258752366,-337.7031945471108
-345.00502681308126,-338.34434669434967
-345.76735776244254,-338.91678741416166
-346.4762097383526,-339.54653138880514
-347.1882186118105,-340.16336138496786
-347.92004051656846,-340.7527799935572
-348.62047379064984,-341.39186191675884
-349.34367199846383,-342.0166637001984
-350.05205094853136,-342.6534843647863
-350.7434785643129,-343.28274515007706
-351.4129919924002,-343.9312407423322
-352.0921292704161,-344.57475928221186
